Region,Year,Nombre de trains programmés,Nombre de trains ayant circulé,Nombre de trains annulés,Nombre de trains en retard à l'arrivée,Taux de régularité,Nombre de trains à l'heure pour un train en retard à l'arrivée
Auvergne-Rhône-Alpes,2013,65644.0,64606.0,1038.0,5949.0,1089.8612440527274,125.60160571783159
Auvergne-Rhône-Alpes,2014,63460.0,62450.0,1010.0,4103.0,1120.9640384982793,176.16530186902907
Auvergne-Rhône-Alpes,2015,69567.0,68440.0,1127.0,3943.0,1130.2880694387904,215.88112168707593
Auvergne-Rhône-Alpes,2016,61055.0,59917.0,1138.0,4129.0,1116.8748367607154,167.75762722577412
Auvergne-Rhône-Alpes,2017,53050.0,52125.0,925.0,3704.0,1114.9220648880007,160.9930267431273
Bourgogne-Franche-Comté,2013,91913.0,89696.0,2217.0,8514.0,1085.9017705825954,118.9446318339606
Bourgogne-Franche-Comté,2014,89610.0,88301.0,1309.0,7475.0,1097.9123443247909,137.09305035772996
Bourgogne-Franche-Comté,2015,90127.0,89082.0,1045.0,7610.0,1097.3564015349918,133.12826318248105
Bourgogne-Franche-Comté,2016,86419.0,85207.0,1212.0,8669.0,1077.616590875903,111.91630493288797
Bourgogne-Franche-Comté,2017,84498.0,84072.0,1056.0,7907.0,1087.0249618731725,118.54066146694736
Bretagne,2013,97604.0,96385.0,1219.0,6482.0,1119.8931554730264,187.54550143387763
Bretagne,2014,95424.0,94502.0,922.0,4861.0,1137.982931647841,243.05012361020488
Bretagne,2015,95518.0,94750.0,768.0,4939.0,1137.5924345691515,232.33545139298806
Bretagne,2016,93376.0,92426.0,950.0,5117.0,1133.575035824719,225.64012363701093
Bretagne,2017,99440.0,98499.0,941.0,4775.0,1141.7146728887014,290.62180525440306
Bretagne,2018,99147.0,97763.0,1384.0,5226.0,1133.6887445438185,227.4886616329708
Bretagne,2019,101764.0,100295.0,1469.0,4180.0,1145.8930977393052,302.30869061507366
Bretagne,2020,81344.0,80433.0,911.0,3468.0,1150.828902411506,306.92153821559043
Bretagne,2021,106299.0,105093.0,1206.0,4405.0,1150.0440369929206,308.8414197197137
Bretagne,2022,110131.0,108911.0,1260.0,4811.0,1146.9610447759103,285.6405918030671
Bretagne,2023,104751.0,103405.0,1346.0,5611.0,1134.949803478685,233.52802889945843
Bretagne,2024,103551.0,102469.0,1086.0,4871.0,1047.7582721098381,230.05356802858398
Centre-Val de Loire,2013,113139.0,110033.0,3106.0,8622.0,1106.0469949894532,151.61876498167868
Centre-Val de Loire,2014,106243.0,104208.0,2035.0,7374.0,1114.7011755447393,162.29230660692633
Centre-Val de Loire,2015,106841.0,105456.0,1385.0,8354.0,1104.8279688638156,145.12149615075387
Centre-Val de Loire,2016,102326.0,100530.0,1796.0,8961.0,1092.2642396274132,128.946576719446
Centre-Val de Loire,2017,112446.0,111346.0,1730.0,9020.0,1102.9865954803392,147.9231745077231
